Марка;Модель;Цена, руб;Пробег, км;Год выпуска;Топливо;КПП;Кузов;Объём двигателя
Chery;Tiggo 4;1440000;143 000 км;2019 г.;Бензин;МКПП;Кроссовер;2.0
Geely;Coolray;2200000;35 тыс. км;2022;Бензин;МКПП;Кроссовер;1.8
Chery;Tiggo 4;1 960 000 руб.;60 000 км;2023 г.;Бензин;Робот;Кроссовер;2,0
Hyundai;Creta;2 230 000 ₽;50 тыс. км;2023;Бензин;АКПП;Кроссовер;1.8
BMW;3 series;1 930 000 руб.;180000;2015;Бензин;МКПП;Седан;1.4
Skoda;Karoq;2 070 000 ₽;102000;2021;Бензин;Вариатор;Кроссовер;2,5
Renault;Duster;1 750 000 ₽;75000;20;Бензин;Вариатор;Кроссовер;1,6
Renault;Logan;700 000 ₽;123 000 км;2014;Бензин;МКПП;Седан;2.0
Hyundai;Creta;1 740 000 ₽;50 тыс. км;2021;Бензин;АКПП;Кроссовер;1,6
Haval;Jolion;1 870 000 ₽;26 тыс. км;2023;Бензин;АКПП;Кроссовер;1.8
Geely;Coolray;1 440 000;96 000 км;2019;Бензин;Робот;Кроссовер;1,2
Mazda;CX-5;2 650 000 ₽;121000;2019;Бензин;автомат;Кроссовер;2,0
Mazda;6;2 280 000 ₽;48 000 км;2020;Бензин;АКПП;Седан;1.4
Kia;K5;1650000;139000;2016;Бензин;Вариатор;Седан;1,2
Hyundai;Tucson;3 260 000 ₽;54 000 км;2023;Бензин;АКПП;Кроссовер;2,0
Chery;Tiggo 4;1840000;85 тыс. км;2021;Гибрид;Вариатор;Кроссовер;1,8
Skoda;Karoq;2 170 000 ₽;41000;2021 г.;Бензин;АКПП;Кроссовер;1.6
Mazda;6;850000;260000;2011;Бензин;АКПП;Седан;1.2
Mazda;6;1 560 000 ₽;160 000 км;2017;Бензин;АКПП;Седан;1.6
Skoda;Karoq;1 990 000 ₽;109 тыс. км;2020;Бензин;АКПП;Кроссовер;1.2
Nissan;Qashqai;980000;254000;2012;Бензин;Вариатор;Кроссовер;1.4
Hyundai;Tucson;2770000;36 000 км;2022;Дизель;автомат;Кроссовер;1,8
Mazda;CX-5;1370000;213 000 км;2013 г.;Электро;автомат;Кроссовер;—
Skoda;Karoq;1 970 000 ₽;93 тыс. км;2020;Бензин;МКПП;Кроссовер;1,8
Kia;Sportage;1770000;140 тыс. км;2014;Бензин;АКПП;Кроссовер;2,0
Audi;A4;2190000;173 000 км;2018;Бензин;МКПП;Седан;1.6
Renault;Logan;600 000;183 000 км;15;Бензин;МКПП;Седан;1,2
Chery;Tiggo 4;2 100 000 ₽;47 тыс. км;2024;Бензин;АКПП;Кроссовер;2.0
Skoda;Octavia;740 000 ₽;260000;2012;Бензин;Вариатор;Седан;1,4
Toyota;RAV4;2530000;171000;2018;Бензин;Робот;Кроссовер;1.6
Hyundai;Creta;1 720 000 ₽;143 000 км;2020;Бензин;Вариатор;Кроссовер;1.2
Toyota;Camry;1280000;187 тыс. км;2011;Бензин;МКПП;Седан;1,8
Toyota;RAV4;3 180 000 ₽;87 000 км;2022;Бензин;МКПП;Кроссовер;2,0
Chery;Tiggo 4;1 890 000 ₽;89 тыс. км;2022;Бензин;автомат;Кроссовер;1.8
Ford;Focus;по договорённости;145 000 км;2014;Бензин;АКПП;Седан;1.6
Nissan;Almera;;180 000 км;2013;Бензин;МКПП;Седан;1.6
Hyundai;Elantra;1 250 000 ₽;;2018 г.;Бензин;АКПП;Седан;1.8
;;;;;;;;
Kia;Optima;0;210 000;2012;Бензин;АКПП;Седан;2.0
Mercedes;E-class;1870000;103000;2012;Бензин;Вариатор;Седан;2,5
Toyota;RAV4;2 370 000 ₽;109000;2016 г.;Бензин;МКПП;Кроссовер;2.5
Lada;Vesta;1 320 000 ₽;54 000 км;2021;бензин;вариатор;седан;1.8
